"Species_code","site","pre_post","Resilience","Rs_norm","Li_Rs","Li_Rs_norm","Li_Rt","Li_Rt_norm"
"1","PCGL","ak036.crn","50_69",0.928808628333627,-0.348350309148011,0.669510762804331,-1.80258687267994,13.8593994607527,1.69938157208879
"2","PCGL","ak036.crn","70_89",0.906656656656657,-0.479657794651654,1.88144530926635,1.10117016820889,2.42082835157343,-0.402798079355853
"3","PCGL","ak036.crn","90_09",NA,NA,1.07155053238589,-0.136214127963086,1.71899987529857,0.29392239569327
"4","PCGL","ak037.crn","50_69",1.14385416486782,0.574015597777789,1.99920805671569,0.713593170117837,4.86577985100688,0.42924912602132
"5","PCGL","ak037.crn","70_89",1.02049805183805,0.158096699975225,0.40347759988767,0.691823721688359,7.43892659145752,0.322185949724447
"6","PCGL","ak037.crn","90_09",NA,NA,0.70016744467275,-1.66215978328134,1.07524253309016,2.03415982352668
"7","PCGL","ak054.crn","50_69",0.986668725115621,-0.030463296486942,5.39511850902594,-1.09611618311055,5.70182359330622,1.2485547896598
"8","PCGL","ak054.crn","70_89",1.00395040997957,0.0605761088449514,1.6930608691647,-0.322548679859632,8.45525077097121,0.923178908223908
"9","PCGL","ak054.crn","90_09",NA,NA,NA,-1.07170781980922,NA,0.754519010819312
"10","PCGL","ak055.crn","50_69",1.06286024131808,0.347374119902025,4.24927066052917,-0.568074848834096,10.2643137706487,0.347844471558473
"11","PCGL","ak055.crn","70_89",1.06289900643405,0.365650831648721,1.09237668639452,-0.110451048765061,5.03696894367354,0.218702603952169
"12","PCGL","ak055.crn","90_09",NA,NA,NA,-0.286338738025932,NA,0.538368627783036
"13","PCGL","ak056.crn","50_69",0.991744383315773,-0.00187764370112302,1.16510384511661,-1.48898602145366,32.594878116744,1.43385760152357
"14","PCGL","ak056.crn","70_89",1.0480952351877,0.305418621192323,1.15445114391678,-0.014231202683332,8.3541943210632,0.199418380237889
"15","PCGL","ak056.crn","90_09",NA,NA,NA,-1.05208978446106,NA,0.698369354177566
"16","PCGL","ak088.crn","50_69",0.985982590553816,-0.0342706209286189,0.536231204146615,-0.257256089248007,29.4773387813032,0.634420473750468
"17","PCGL","ak088.crn","70_89",1.06928645294726,0.416682150465739,0.984131439992276,-0.312231682485559,5.84678624080982,-0.109377314982458
"18","PCGL","ak088.crn","90_09",0.869383092155369,-0.684977794197096,0.82068234507259,-0.769921693464163,3.44415162090418,0.313680857675924
"19","CHNO","ak118.crn","50_69",0.901033973412112,-0.511330484193695,0.948473042603996,0.0823879044751752,5.1171326354843,0.637720076867619
"20","CHNO","ak118.crn","70_89",0.940249540528654,-0.289388487649888,1.48454859328598,0.58748138977744,6.01301327386735,-0.202168566216356
"21","CHNO","ak118.crn","90_09",1.05195754698757,0.173543666583177,1.20131562969613,-0.647957468607844,6.66963012641482,0.00404295984407267
"22","CHNO","ak119.crn","50_69",0.855725879170424,-0.761537112791881,2.44597325870647,-0.133773557753949,2.90621325282059,0.510533973828707
"23","CHNO","ak119.crn","70_89",1.01470492027243,0.0750111994222035,3.75986558175093,1.66990857236899,4.51495824036848,-0.0877095527624877
"24","CHNO","ak119.crn","90_09",0.993893867152708,0.0128176004802577,0.917457994569144,2.46421849258922,3.80348231769512,0.27148048715167
"25","PCGL","ak124.crn","50_69",0.836253828236837,-0.836812872446839,1.79263220164976,0.347349184451114,7.79854135335977,-0.420399616271059
"26","PCGL","ak124.crn","70_89",0.875826429407829,-0.643384619074767,7.87962537764061,-0.230684365918639,20.2311172819966,0.0148246886993691
"27","PCGL","ak124.crn","90_09",NA,NA,NA,-1.82830156926076,NA,1.79884621348656
"28","PCGL","ak125.crn","50_69",0.790631287186014,-1.08739757250549,9.15117121429051,1.2342016290331,3.7377952579035,-0.80940962117213
"29","PCGL","ak125.crn","70_89",0.992210898892771,-0.0118861010240967,2.44460589929287,0.198106552469983,3.68354757195451,-0.279879582231419
"30","PCGL","ak125.crn","90_09",NA,NA,NA,-1.09573107169013,NA,-0.550873448252924
"31","TSME","ak127.crn","50_69",1.07914122763186,0.404879081176902,6.45644128598674,0.539545773689454,5.89180372745898,1.26638202234584
"32","TSME","ak127.crn","70_89",1.2352108689499,1.09929495847529,0.0230341540905482,-1.38879770182117,167.620689655172,0.467999501441539
"33","TSME","ak127.crn","90_09",0.962382445141066,-0.166263748060036,2.6442964929807,-0.0938185843919654,8.99284551758479,-0.274278028866547
"34","PCMA","ak133.crn","50_69",1.04818490997761,0.0973481169889583,1.13098907127663,0.783698585130142,102.248696116746,-0.414518223664984
"35","PCMA","ak133.crn","70_89",0.896323901985692,-0.536465522652602,22.0891693058482,1.2169073540492,183.675330276187,0.296737838259898
"36","PCMA","ak133.crn","90_09",NA,NA,NA,2.23326761198513,NA,-0.641026637748285
"37","PCMA","ak134.crn","50_69",1.00441096539047,0.0664897675654656,2.40211041763085,0.644066634377251,6.71895587476716,0.161063978527982
